Date,Price,Open,High,Low,Change %,Score 1,Score 2,Score 3,Score 4,Score 5,Average Score
2008-06-09,0.49825125248133095,0.5003303479665248,0.4962926492309728,0.49744305988986603,0.44201843765162535,0.5032796054304164,0.1794376366502262,0.74566532770631,0.6183454517720038,0.5163980271520822,0.5126252097422077
2008-06-10,0.49583718106262775,0.498972250770812,0.4935075433014161,0.49812685041718496,0.42649199417758366,0.3761631158793918,0.1985051100828799,0.5032796054304164,0.5032796054304164,0.4128235114659073,0.3988101896578023
2008-06-11,0.4791495488158689,0.49758478931140804,0.48634269295493127,0.48642239341233307,0.35613779718583205,0.3414857375298723,0.143438246809376,0.3091473025880917,0.3414857375298723,0.5032796054304164,0.3277673259775257
2008-06-12,0.4823343779766881,0.4819409778299809,0.48335917578501053,0.48338170787595747,0.4541484716157205,0.0927441907764274,0.2521482686734123,0.769359841358621,0.1075405501601667,0.2608938831545228,0.29653734682463
2008-06-13,0.4969933176758018,0.48636764058141246,0.4885031709055637,0.4909615986149606,0.5109170305676856,0.4770427619870849,0.0583718920018304,0.568363248080541,0.1336757004118574,0.5032796054304164,0.348146641582346
2008-06-16,0.49707330196979504,0.4988768169138158,0.49193495050741853,0.49849784315009205,0.4386220281416787,0.5032796054304164,0.1794376366502262,0.1623531804545685,0.4770427619870849,0.3527736818020033,0.3349773732648599
2008-06-17,0.4903764351727298,0.5002422551754515,0.49332382918996787,0.4973848649513709,0.40514313440077626,0.74566532770631,0.5032796054304164,0.219860680327452,0.3091473025880917,0.3527736818020033,0.4261453195708548
2008-06-18,0.4808364902891795,0.49207898986932896,0.4808312696114815,0.4849165993787692,0.39107229500242596,0.5032796054304164,0.5032796054304164,0.1855392281486754,0.5032796054304164,0.5032796054304164,0.4397315299740681
2008-06-19,0.48448668261505,0.4827558361474087,0.4794129966711005,0.48280703285831716,0.4565744784085395,0.895662785376519,0.5032796054304164,0.055473636040067,0.6061422687751055,0.5032796054304164,0.5127675802105048
2008-06-20,0.46638114697477584,0.4857876963735135,0.4745335498710328,0.47113894769002473,0.34837457544881123,0.5032796054304164,0.0598972898764427,0.2436568871714038,0.6813443839934916,0.1985051100828799,0.3373366553109269
2008-06-23,0.46643204607095334,0.47018793128762293,0.461864624745556,0.47175726891153646,0.4386220281416787,0.299638989169675,0.1623531804545685,0.5032796054304164,0.5032796054304164,0.0334062134540091,0.3003915187878171
2008-06-24,0.463734393973547,0.4683233005432389,0.4635107031841331,0.4638354829088741,0.4245511887433284,0.0720496262775207,0.8006304977881731,0.1571159810850663,0.0378807138862052,0.1012864188742563,0.2337926475822443
2008-06-25,0.46931875195416173,0.46634855381001317,0.4705726736282069,0.47119714262851986,0.4662785055798156,0.697411908272741,0.0583718920018304,0.5032796054304164,0.5032796054304164,0.5425331774037728,0.4609752377078354
2008-06-26,0.44109156747402334,0.46763324034649834,0.45636054996656417,0.44836290363645637,0.2954876273653566,0.5032796054304164,0.1571159810850663,0.1043880612193013,0.5032796054304164,0.5032796054304164,0.3542685717191234
2008-06-27,0.4376231576345009,0.44363529584495665,0.43663700296147157,0.4402519840836844,0.4201843765162542,0.0246605989728986,0.2436568871714038,0.2699954238063761,0.5032796054304164,0.1571159810850663,0.2397416992932322
2008-06-30,0.4388011081460368,0.439568345323741,0.43726897950485377,0.44233245313488856,0.4444444444444444,0.1108964254843137,0.5032796054304164,0.7940712869273401,0.6650734733309605,0.5032796054304164,0.5153200793206895
2008-07-01,0.44237131617791414,0.4385626192923213,0.4335946972758872,0.4320174002866102,0.4565744784085395,0.5032796054304164,0.1855392281486754,0.0720496262775207,0.7424111455738038,0.3882137590888289,0.378298672903849
2008-07-02,0.4253637467551826,0.4452650124798121,0.4386358124940295,0.4326211727734981,0.3498301795245026,0.5032796054304164,0.4254334672293689,0.6183454517720038,0.288961204047389,0.7449534753648243,0.5161946407688005
2008-07-03,0.4263671860798244,0.42848333578035536,0.4234316326305657,0.4257105238271902,0.4434740417273168,0.5032796054304164,0.2436568871714038,0.5032796054304164,0.1985051100828799,0.1623531804545685,0.322214877713937
2008-07-07,0.41866687995811724,0.4284392893848188,0.4252467280516753,0.41746866566280405,0.3973799126637554,0.5032796054304164,0.9164590430670666,0.0527787664615853,0.1472008949000863,0.6761580312198098,0.4591752682157929
2008-07-08,0.4342201894900638,0.4203200704742328,0.4254083964697498,0.419039929002175,0.5211062590975254,0.5163980271520822,0.5032796054304164,0.697411908272741,0.4254334672293689,0.1571159810850663,0.4599277978339349
2008-07-09,0.4131261497742261,0.43613272647188384,0.4277525885318303,0.42029839454713425,0.32751091703056767,0.5032796054304164,0.5032796054304164,0.0983373163166725,0.6061422687751055,0.0583718920018304,0.3538821375908882
